utc,last_modified,preset,n,dist,mode,bright,px,blob,bw,bh,fill,dom,dom2,cx,cy,bpk,bsat,nblobs,blocks,vetoed,hit,bytes
2026-08-31 23:58:55,"Mon, 31 Aug 2026 23:58:49 GMT",14,131,0.6,night,60.5,3,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,76472
2026-08-31 23:59:07,"Mon, 31 Aug 2026 23:59:05 GMT",16,6,2.9,night,36.7,1007,52,15,6,0.58,0.71,0.8,0.196,0.449,221,0.0,9,73,0,1,74608
2026-08-31 23:59:55,"Mon, 31 Aug 2026 23:59:51 GMT",8,102,0.4,night,76.7,323,1,1,1,1.0,0.17,0.0,0.542,0.407,87,0.0,6,6,0,0,139743
2026-09-01 00:00:07,"Tue, 01 Sep 2026 00:00:05 GMT",12,83,1.0,night,69.4,190,1,1,1,1.0,0.5,0.0,0.521,0.87,149,0.0,2,2,0,0,134372
2026-09-01 00:00:20,"Tue, 01 Sep 2026 00:00:05 GMT",12,84,0.7,night,69.4,58,1,1,1,1.0,1.0,0.0,0.479,0.944,151,0.0,1,1,0,0,134372
2026-09-01 00:00:57,"Tue, 01 Sep 2026 00:00:50 GMT",15,86,1.3,night,68.3,74,1,1,1,1.0,0.5,0.0,0.719,0.87,125,0.0,2,2,0,0,124040
2026-09-01 00:01:09,"Tue, 01 Sep 2026 00:01:04 GMT",11,90,0.3,night,24.8,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,75269
2026-09-01 00:01:57,"Tue, 01 Sep 2026 00:01:49 GMT",14,132,0.6,night,57.5,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,73530
2026-09-01 00:02:09,"Tue, 01 Sep 2026 00:02:05 GMT",18,8,3.8,night,59.5,1524,10,3,8,0.42,0.15,0.27,0.586,0.826,174,0.0,27,65,0,0,119931
2026-09-01 00:03:00,"Tue, 01 Sep 2026 00:02:51 GMT",8,103,0.2,night,76.4,83,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,139925
2026-09-01 00:03:13,"Tue, 01 Sep 2026 00:03:06 GMT",12,85,1.0,night,74.0,241,2,2,1,1.0,0.5,0.0,0.484,0.944,156,0.0,3,4,0,0,146014
