utc,last_modified,preset,n,dist,mode,bright,px,blob,bw,bh,fill,dom,dom2,cx,cy,bpk,bsat,nblobs,blocks,vetoed,hit,bytes
2026-08-31 23:58:58,"Mon, 31 Aug 2026 23:58:46 GMT",10,71,0.3,night,155.6,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,147376
2026-08-31 23:59:10,"Mon, 31 Aug 2026 23:59:02 GMT",17,3,15.0,night,151.5,20983,1148,72,34,0.47,0.77,0.77,0.556,0.242,255,0.13,14,1495,0,0,154011
2026-09-01 00:00:00,"Mon, 31 Aug 2026 23:59:46 GMT",12,66,0.6,night,113.2,6,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,178890
2026-09-01 00:00:12,"Tue, 01 Sep 2026 00:00:02 GMT",12,67,0.4,night,112.7,15,1,1,1,1.0,1.0,0.0,0.448,0.593,129,0.0,1,1,0,0,178074
2026-09-01 00:01:13,"Tue, 01 Sep 2026 00:01:01 GMT",9,248,14.2,night,82.5,14478,129,29,13,0.34,0.18,0.19,0.231,0.631,210,0.0,49,708,287,0,135569
2026-09-01 00:01:50,"Tue, 01 Sep 2026 00:01:46 GMT",9,249,13.6,night,77.9,15362,335,49,19,0.36,0.42,0.44,0.49,0.555,255,0.05,63,807,349,0,136508
2026-09-01 00:02:53,"Tue, 01 Sep 2026 00:02:47 GMT",9,250,13.6,night,81.1,17326,224,50,11,0.41,0.26,0.28,0.313,0.72,220,0.0,74,858,394,0,141432
2026-09-01 00:03:06,"Tue, 01 Sep 2026 00:03:02 GMT",9,251,9.5,night,80.9,10389,89,17,23,0.23,0.24,0.27,0.349,0.313,147,0.0,49,376,364,0,141080
2026-09-01 00:30:11,"Tue, 01 Sep 2026 00:30:02 GMT",7,70,1.4,night,107.6,107,2,1,2,1.0,0.4,0.0,0.302,0.083,157,0.0,3,5,0,0,172295
2026-09-01 00:30:48,"Tue, 01 Sep 2026 00:30:47 GMT",9,252,12.4,night,78.8,15540,466,42,41,0.27,0.65,0.68,0.458,0.442,255,0.02,51,722,414,0,125678
2026-09-01 00:31:01,"Tue, 01 Sep 2026 00:30:47 GMT",9,253,8.7,night,78.8,9217,44,15,9,0.33,0.15,0.17,0.596,0.485,235,0.0,45,295,387,0,125678
2026-09-01 00:31:13,"Tue, 01 Sep 2026 00:31:01 GMT",9,254,6.3,night,77.6,5729,7,4,3,0.58,0.07,0.12,0.301,0.513,199,0.0,44,94,318,0,136321
2026-09-01 00:31:50,"Tue, 01 Sep 2026 00:31:47 GMT",9,255,15.7,night,85.5,19043,407,40,17,0.6,0.41,0.43,0.81,0.856,207,0.0,56,990,370,0,158193
2026-09-01 00:32:14,"Tue, 01 Sep 2026 00:32:01 GMT",9,256,12.9,night,80.9,16336,209,26,26,0.31,0.27,0.29,0.613,0.452,189,0.0,59,781,414,0,141359
2026-09-01 00:32:51,"Tue, 01 Sep 2026 00:32:46 GMT",10,72,0.4,night,156.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,147367
2026-09-01 00:33:03,"Tue, 01 Sep 2026 00:33:02 GMT",10,73,0.3,night,156.1,22,1,1,1,1.0,1.0,0.0,0.156,0.463,255,1.0,1,1,0,0,147406
2026-09-01 00:33:16,"Tue, 01 Sep 2026 00:33:02 GMT",10,74,0.2,night,156.1,20,1,1,1,1.0,1.0,0.0,0.156,0.463,255,1.0,1,1,0,0,147406
2026-09-01 00:33:54,"Tue, 01 Sep 2026 00:33:46 GMT",14,59,2.8,night,139.5,35,2,2,1,1.0,1.0,0.0,0.172,0.5,255,1.0,1,2,0,0,144741
2026-09-01 00:34:06,"Tue, 01 Sep 2026 00:34:02 GMT",12,68,0.4,night,112.4,6,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,178368
2026-09-01 00:51:28,"Tue, 01 Sep 2026 00:51:01 GMT",9,257,11.5,night,86.7,13682,265,32,15,0.55,0.43,0.46,0.831,0.865,201,0.0,57,623,323,0,159958
2026-09-01 00:51:51,"Tue, 01 Sep 2026 00:51:45 GMT",9,258,10.3,night,81.0,11943,123,24,15,0.34,0.23,0.25,0.594,0.384,164,0.0,55,529,303,0,141825
2026-09-01 00:52:03,"Tue, 01 Sep 2026 00:52:01 GMT",10,75,0.4,night,156.4,12,1,1,1,1.0,1.0,0.0,0.156,0.463,191,0.0,1,1,0,0,147903
2026-09-01 00:52:15,"Tue, 01 Sep 2026 00:52:01 GMT",10,76,0.3,night,156.4,7,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,147903
2026-09-01 00:52:50,"Tue, 01 Sep 2026 00:52:46 GMT",14,60,2.2,night,148.5,22,2,2,1,1.0,1.0,0.0,0.172,0.5,75,0.0,1,2,0,0,156512
2026-09-01 00:53:14,"Tue, 01 Sep 2026 00:53:01 GMT",14,61,1.6,night,148.1,26,2,2,1,1.0,1.0,0.0,0.172,0.5,72,0.0,1,2,0,0,150109
2026-09-01 00:53:50,"Tue, 01 Sep 2026 00:53:47 GMT",12,69,0.7,night,112.8,102,8,3,3,0.89,1.0,1.0,0.439,0.521,255,1.0,1,8,0,0,178083
2026-09-01 00:54:13,"Tue, 01 Sep 2026 00:54:01 GMT",7,71,0.9,night,107.6,40,1,1,1,1.0,0.5,0.0,0.302,0.074,159,0.0,2,2,0,0,172115
2026-09-01 00:54:49,"Tue, 01 Sep 2026 00:54:46 GMT",9,259,15.2,night,81.8,17538,391,70,16,0.35,0.38,0.39,0.545,0.866,226,0.0,46,1023,221,0,134667
2026-09-01 00:55:12,"Tue, 01 Sep 2026 00:55:02 GMT",9,260,10.7,night,81.6,10834,254,61,13,0.32,0.44,0.47,0.497,0.862,208,0.0,52,583,180,0,134728
2026-09-01 00:55:48,"Tue, 01 Sep 2026 00:55:46 GMT",9,261,13.9,night,85.0,16740,523,79,14,0.47,0.57,0.58,0.682,0.866,232,0.0,27,913,248,0,157234
2026-09-01 01:08:03,"Tue, 01 Sep 2026 01:07:47 GMT",14,62,1.4,night,143.5,69,3,2,2,0.75,0.75,1.0,0.809,0.025,219,0.0,2,4,0,0,147810
2026-09-01 01:08:52,"Tue, 01 Sep 2026 01:08:47 GMT",7,72,0.7,night,107.6,17,1,1,1,1.0,1.0,0.0,0.958,0.278,47,0.0,1,1,0,0,172185
2026-09-01 01:09:53,"Tue, 01 Sep 2026 01:09:46 GMT",9,262,14.4,night,78.0,16508,334,42,18,0.44,0.38,0.4,0.48,0.548,255,0.05,62,873,341,0,136910
2026-09-01 01:10:05,"Tue, 01 Sep 2026 01:10:01 GMT",9,263,10.0,night,78.1,10156,98,22,12,0.37,0.23,0.26,0.38,0.521,255,0.07,53,419,332,0,136950
2026-09-01 01:11:06,"Tue, 01 Sep 2026 01:11:02 GMT",9,264,13.3,night,78.1,17519,203,24,18,0.47,0.23,0.24,0.579,0.409,185,0.0,57,891,405,0,136822
2026-09-01 01:11:54,"Tue, 01 Sep 2026 01:11:46 GMT",10,77,0.3,night,156.2,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,148340
2026-09-01 01:12:06,"Tue, 01 Sep 2026 01:12:01 GMT",10,78,18.3,night,182.9,17585,668,53,54,0.23,0.58,0.58,0.176,0.358,255,0.95,18,1160,0,0,122909
