utc,last_modified,preset,n,dist,dist2,mode,bright,px,pxlo,edge,blob,blob2,bw,bh,fill,dom,dom2,cx,cy,bpk,bsat,bact,nblobs,blocks,vetoed,veto30,hit,bytes
2026-09-06 23:57:48,"Sun, 06 Sep 2026 23:57:46 GMT",95,401,0.4,15.6,night,98.4,62,1406,6.37,1,0,1,1,1.0,1.0,0.0,0.438,0.907,242,0.0,0.131,1,1,0,0,0,186052
2026-09-06 23:58:12,"Sun, 06 Sep 2026 23:58:02 GMT",95,402,0.4,15.5,night,98.5,101,2414,6.4,1,0,1,1,1.0,1.0,0.0,0.5,0.907,223,0.0,0.324,1,1,0,1,0,186447
2026-09-06 23:59:12,"Sun, 06 Sep 2026 23:59:01 GMT",92,561,0.5,10.0,night,109.0,171,4161,6.4,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,215783
2026-09-06 23:59:48,"Sun, 06 Sep 2026 23:59:47 GMT",41,689,0.4,12.1,night,100.4,412,4238,6.85,3,1,2,2,0.75,0.3,1.0,0.726,0.969,226,0.0,0.124,8,10,3,5,0,183513
2026-09-07 00:00:00,"Sun, 06 Sep 2026 23:59:47 GMT",41,690,0.3,12.1,night,100.4,147,2029,6.85,1,0,1,1,1.0,1.0,0.0,0.729,0.981,220,0.0,0.263,1,1,2,2,0,183513
2026-09-07 00:00:12,"Mon, 07 Sep 2026 00:00:02 GMT",10,656,0.5,9.4,night,172.6,8,805,4.17,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,168695
2026-09-07 00:00:59,"Mon, 07 Sep 2026 00:00:47 GMT",14,600,2.1,9.4,night,162.2,234,1516,5.43,2,1,2,1,1.0,0.33,0.0,0.161,0.722,255,0.5,0.206,5,6,0,1,0,160418
2026-09-07 00:01:59,"Mon, 07 Sep 2026 00:01:46 GMT",12,629,0.8,8.5,night,131.8,1161,4327,8.57,6,4,5,3,0.4,0.15,0.25,0.356,0.929,255,1.0,0.316,19,40,35,63,0,212875
2026-09-07 00:02:11,"Mon, 07 Sep 2026 00:02:01 GMT",7,628,0.8,10.4,night,129.0,1117,5762,7.32,3,2,2,3,0.5,0.15,1.0,0.16,0.648,240,0.0,0.45,15,20,7,20,0,176625
2026-09-07 00:02:51,"Mon, 07 Sep 2026 00:02:47 GMT",95,403,1.0,15.1,night,95.6,117,1267,6.27,3,1,3,1,1.0,0.5,1.0,0.292,0.907,239,0.0,0.213,4,6,0,1,0,181666
2026-09-07 00:03:14,"Mon, 07 Sep 2026 00:03:02 GMT",178,5,8.7,11.9,night,110.3,12582,29347,6.95,632,100,42,50,0.3,0.68,0.7,0.365,0.322,255,0.29,0.164,36,936,0,0,0,178331
2026-09-07 00:03:51,"Mon, 07 Sep 2026 00:03:47 GMT",92,562,0.5,10.0,night,109.1,319,5752,6.43,1,1,1,1,1.0,0.5,0.0,0.625,0.037,177,0.0,0.112,2,2,0,0,0,216082
2026-09-07 00:04:04,"Mon, 07 Sep 2026 00:04:02 GMT",92,563,0.5,10.0,night,109.7,99,4036,6.39,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,216321
2026-09-07 00:04:16,"Mon, 07 Sep 2026 00:04:02 GMT",92,564,0.3,10.0,night,109.7,12,1654,6.39,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,216321
2026-09-07 00:04:52,"Mon, 07 Sep 2026 00:04:46 GMT",41,691,0.5,12.1,night,100.6,553,4765,6.9,5,2,3,4,0.42,0.36,1.0,0.294,0.748,255,0.6,0.255,8,14,1,3,0,183718
2026-09-07 00:05:04,"Mon, 07 Sep 2026 00:05:01 GMT",10,657,0.5,9.5,night,173.0,40,1028,4.19,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,169004
2026-09-07 00:05:51,"Mon, 07 Sep 2026 00:05:46 GMT",14,601,1.1,11.1,night,167.7,62,564,5.42,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,163980
2026-09-07 00:06:03,"Mon, 07 Sep 2026 00:06:01 GMT",14,602,0.8,11.0,night,167.8,50,443,5.4,1,1,1,1,1.0,0.5,0.0,0.792,0.667,255,1.0,0.183,2,2,0,1,0,163907
2026-09-07 00:06:15,"Mon, 07 Sep 2026 00:06:01 GMT",14,603,0.5,11.0,night,167.8,10,196,5.4,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,163907
2026-09-07 00:06:51,"Mon, 07 Sep 2026 00:06:46 GMT",7,629,0.9,10.6,night,129.2,1397,6321,7.29,10,5,6,3,0.56,0.18,0.33,0.453,0.778,255,0.8,0.142,27,55,10,32,0,171057
2026-09-07 00:07:14,"Mon, 07 Sep 2026 00:07:01 GMT",7,630,0.8,10.6,night,129.0,1580,6744,7.38,4,4,3,2,0.67,0.08,0.21,0.357,0.495,255,1.0,0.273,32,52,10,31,0,176611
2026-09-07 00:07:50,"Mon, 07 Sep 2026 00:07:47 GMT",95,404,0.7,15.0,night,96.1,233,1306,6.28,5,2,4,2,0.62,0.42,1.0,0.283,0.915,229,0.0,0.182,6,12,0,1,0,182269
2026-09-07 00:08:14,"Mon, 07 Sep 2026 00:08:01 GMT",159,303,0.6,3.6,night,83.1,2184,8341,6.93,24,8,13,9,0.21,0.24,0.32,0.572,0.474,255,0.62,0.249,31,101,5,39,0,147492
2026-09-07 00:08:49,"Mon, 07 Sep 2026 00:08:47 GMT",92,565,0.4,9.9,night,109.7,168,4268,6.44,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,215612
2026-09-07 00:09:14,"Mon, 07 Sep 2026 00:09:01 GMT",92,566,0.4,9.9,night,110.1,164,3763,6.4,1,1,1,1,1.0,0.5,0.0,0.74,0.093,176,0.0,0.159,2,2,0,0,0,215136
2026-09-07 00:30:56,"Mon, 07 Sep 2026 00:30:46 GMT",12,630,0.8,8.4,night,129.4,1261,6104,8.5,6,4,4,3,0.5,0.15,0.32,0.764,0.608,255,0.67,0.285,21,41,37,61,0,209329
2026-09-07 00:31:08,"Mon, 07 Sep 2026 00:31:01 GMT",12,631,0.7,8.4,night,129.5,915,3786,8.49,6,4,5,4,0.3,0.24,0.38,0.644,0.491,255,0.17,0.415,12,25,30,45,0,209764
2026-09-07 00:32:08,"Mon, 07 Sep 2026 00:32:01 GMT",95,405,0.6,15.0,night,97.1,180,2571,6.38,3,1,1,3,1.0,0.6,1.0,0.229,0.963,255,0.33,0.174,3,5,0,0,0,184241
2026-09-07 00:32:57,"Mon, 07 Sep 2026 00:32:46 GMT",159,304,1.2,3.4,night,82.0,1262,6569,6.98,8,4,6,4,0.33,0.2,0.31,0.581,0.12,235,0.0,0.451,18,40,8,32,0,144916
2026-09-07 00:33:09,"Mon, 07 Sep 2026 00:33:01 GMT",92,567,0.6,9.8,night,107.6,205,5224,5.36,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,202473
2026-09-07 00:33:57,"Mon, 07 Sep 2026 00:33:47 GMT",41,692,0.8,11.7,night,99.3,667,5132,6.81,7,4,6,2,0.58,0.25,0.5,0.201,0.765,224,0.0,0.193,13,28,1,9,0,181257
2026-09-07 00:34:09,"Mon, 07 Sep 2026 00:34:01 GMT",41,693,0.6,11.8,night,99.4,562,4590,6.83,5,4,2,4,0.62,0.25,0.33,0.15,0.737,208,0.0,0.301,7,20,2,8,0,181083
2026-09-07 00:34:57,"Mon, 07 Sep 2026 00:34:46 GMT",485,2,10.3,18.0,night,207.9,8986,24759,2.61,321,95,25,30,0.43,0.53,0.54,0.58,0.257,255,0.16,0.06,21,601,0,0,0,120018
2026-09-07 00:35:09,"Mon, 07 Sep 2026 00:35:01 GMT",14,604,0.9,11.2,night,168.5,77,667,5.47,1,0,1,1,1.0,1.0,0.0,0.167,0.722,255,1.0,0.204,1,1,0,0,0,169818
2026-09-07 00:35:57,"Mon, 07 Sep 2026 00:35:46 GMT",12,632,0.6,8.4,night,129.6,1193,4366,8.6,6,5,3,3,0.67,0.17,0.43,0.365,0.92,255,0.83,0.314,21,35,37,59,0,210495
2026-09-07 00:36:08,"Mon, 07 Sep 2026 00:36:01 GMT",274,9,2.7,15.5,night,167.2,1510,11552,7.5,10,4,3,5,0.67,0.21,0.59,0.364,0.202,255,0.4,0.25,27,47,0,14,0,187043
2026-09-07 00:36:56,"Mon, 07 Sep 2026 00:36:47 GMT",95,406,0.5,15.2,night,97.1,124,1709,6.34,1,0,1,1,1.0,1.0,0.0,0.26,0.926,188,0.0,0.151,1,1,0,0,0,183854
2026-09-07 00:37:08,"Mon, 07 Sep 2026 00:37:02 GMT",95,407,0.4,15.2,night,97.3,35,1008,6.34,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,183812
2026-09-07 00:37:55,"Mon, 07 Sep 2026 00:37:46 GMT",159,305,0.9,3.4,night,81.6,775,3939,6.97,4,3,3,3,0.44,0.16,0.4,0.479,0.431,255,0.5,0.399,15,25,10,32,0,147333
2026-09-07 00:38:07,"Mon, 07 Sep 2026 00:38:02 GMT",92,568,0.5,9.9,night,108.2,103,3457,6.33,1,0,1,1,1.0,1.0,0.0,0.625,0.074,203,0.0,0.087,1,1,0,0,0,213368
2026-09-07 00:38:56,"Mon, 07 Sep 2026 00:38:47 GMT",41,694,0.6,11.9,night,99.8,666,5359,7.01,4,2,3,2,0.67,0.29,1.0,0.195,0.764,212,0.0,0.347,10,14,0,8,0,182816
2026-09-07 00:39:07,"Mon, 07 Sep 2026 00:39:02 GMT",10,658,1.0,9.8,night,174.7,16,957,3.89,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,163225
2026-09-07 00:39:55,"Mon, 07 Sep 2026 00:39:47 GMT",14,605,2.1,9.4,night,162.8,79,1083,5.43,1,1,1,1,1.0,0.5,0.0,0.812,0.537,209,0.0,0.151,2,2,0,0,0,160204
2026-09-07 00:40:07,"Mon, 07 Sep 2026 00:40:02 GMT",14,606,1.5,9.3,night,162.6,114,988,5.44,1,1,1,1,1.0,0.5,0.0,0.75,0.13,255,1.0,0.166,2,2,0,0,0,159963
2026-09-07 00:40:55,"Mon, 07 Sep 2026 00:40:47 GMT",12,633,0.6,8.5,night,129.7,1934,7736,8.63,15,15,7,5,0.43,0.18,0.27,0.653,0.511,255,0.4,0.324,28,82,39,72,0,210791
2026-09-07 00:41:06,"Mon, 07 Sep 2026 00:41:01 GMT",7,631,0.8,10.4,night,129.4,1262,5792,7.31,3,3,2,2,0.75,0.07,0.33,0.316,0.049,211,0.0,0.278,24,41,15,38,0,176536
2026-09-07 00:41:58,"Mon, 07 Sep 2026 00:41:46 GMT",95,408,0.4,15.1,night,97.3,108,1440,6.35,1,1,1,1,1.0,0.5,0.0,0.5,0.889,216,0.0,0.236,2,2,0,0,0,183226
2026-09-07 00:42:10,"Mon, 07 Sep 2026 00:42:01 GMT",95,409,0.4,15.1,night,97.0,41,874,6.34,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,183124
2026-09-07 00:52:51,"Mon, 07 Sep 2026 00:52:46 GMT",92,569,0.4,9.9,night,108.0,176,3924,6.34,1,1,1,1,1.0,0.5,0.0,0.635,0.037,212,0.0,0.147,2,2,0,0,0,212454
2026-09-07 00:53:04,"Mon, 07 Sep 2026 00:53:02 GMT",92,570,0.4,9.9,night,108.0,226,5159,6.36,1,0,1,1,1.0,1.0,0.0,0.74,0.093,163,0.0,0.24,1,1,0,0,0,212299
2026-09-07 00:53:16,"Mon, 07 Sep 2026 00:53:02 GMT",92,571,0.3,9.9,night,108.0,35,2211,6.36,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,212299
2026-09-07 00:53:54,"Mon, 07 Sep 2026 00:53:46 GMT",10,659,0.6,9.5,night,172.9,15,787,3.97,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,163852
2026-09-07 00:54:06,"Mon, 07 Sep 2026 00:54:02 GMT",10,660,0.5,9.5,night,172.9,2,678,3.98,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,164275
2026-09-07 00:54:55,"Mon, 07 Sep 2026 00:54:47 GMT",14,607,2.0,11.5,night,169.2,152,1322,5.49,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,170243
2026-09-07 00:55:08,"Mon, 07 Sep 2026 00:55:02 GMT",12,634,0.8,8.4,night,131.5,1108,4983,8.35,8,3,5,4,0.4,0.26,0.57,0.65,0.5,254,0.25,0.43,17,31,29,44,0,207201
2026-09-07 00:55:58,"Mon, 07 Sep 2026 00:55:46 GMT",7,632,0.7,10.4,night,129.8,1172,5575,7.26,3,2,3,3,0.33,0.08,1.0,0.719,0.648,247,0.0,0.17,26,39,14,31,0,177482
2026-09-07 00:56:10,"Mon, 07 Sep 2026 00:56:01 GMT",7,633,0.7,10.4,night,130.1,746,4536,7.29,3,2,3,2,0.5,0.19,1.0,0.438,0.784,255,1.0,0.237,12,16,9,16,0,176717
2026-09-07 00:57:00,"Mon, 07 Sep 2026 00:56:46 GMT",159,306,0.7,3.5,night,82.9,521,3758,5.83,2,2,2,1,1.0,0.22,0.0,0.516,0.13,229,0.0,0.42,7,9,5,14,0,130455
2026-09-07 00:57:12,"Mon, 07 Sep 2026 00:57:01 GMT",159,307,0.5,3.4,night,82.4,529,3442,7.01,4,3,3,2,0.67,0.33,0.57,0.508,0.134,235,0.0,0.387,6,12,11,22,0,145755
2026-09-07 00:57:49,"Mon, 07 Sep 2026 00:57:46 GMT",92,572,0.4,9.8,night,108.3,123,4002,6.34,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,213925
2026-09-07 00:58:14,"Mon, 07 Sep 2026 00:58:01 GMT",41,695,0.6,12.1,night,100.5,572,5486,6.94,5,2,2,4,0.62,0.36,1.0,0.294,0.744,255,0.6,0.239,7,14,0,7,0,182540
2026-09-07 00:58:51,"Mon, 07 Sep 2026 00:58:46 GMT",10,661,0.5,9.5,night,173.5,27,755,4.02,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,164727
2026-09-07 00:59:03,"Mon, 07 Sep 2026 00:59:01 GMT",10,662,0.4,9.6,night,173.5,5,701,4.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,165010
2026-09-07 00:59:16,"Mon, 07 Sep 2026 00:59:01 GMT",10,663,0.3,9.6,night,173.5,0,159,4.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,165010
2026-09-07 01:00:05,"Mon, 07 Sep 2026 01:00:02 GMT",12,635,0.5,8.4,night,129.9,843,3563,8.58,4,3,3,2,0.67,0.22,0.4,0.362,0.917,255,0.75,0.358,10,18,31,45,0,210319
2026-09-07 01:00:55,"Mon, 07 Sep 2026 01:00:47 GMT",7,634,0.8,10.2,night,127.5,1308,5567,7.69,4,3,1,4,1.0,0.1,0.21,0.333,0.694,255,1.0,0.13,25,42,20,41,0,179730
2026-09-07 01:01:08,"Mon, 07 Sep 2026 01:01:01 GMT",95,410,0.9,15.0,night,95.0,109,3140,5.9,1,0,1,1,1.0,1.0,0.0,0.906,0.981,205,0.0,0.075,1,1,0,0,0,175196
2026-09-07 01:01:57,"Mon, 07 Sep 2026 01:01:46 GMT",159,308,0.5,3.5,night,82.0,598,3513,6.98,4,3,3,2,0.67,0.25,0.57,0.352,0.454,243,0.0,0.405,8,16,7,19,0,147658
2026-09-07 01:02:09,"Mon, 07 Sep 2026 01:02:01 GMT",159,309,0.4,3.5,night,82.2,421,3014,6.99,2,1,2,1,1.0,0.5,0.0,0.516,0.13,251,0.5,0.49,3,4,5,9,0,147922
