utc,sast,cam,mode,preset,source,logged_blob,md_animal_conf,keep,keep_conf,prediction_common,prediction_class,prediction_score,n_detections,md_bw_blocks,md_bh_blocks,md_cx,md_cy,model_version,path
2026-09-19 00:13:10,2026-09-19 02:13:10,satara,night,35,frames,49,0.3722,1,0.15,blank,,0.9948,2,4.6,3.5,0.261,0.59,4.0.3a,frames/satara/20260919/001310_p35_blob0049_f0.30.jpg
2026-09-19 00:38:47,2026-09-19 02:38:47,satara,night,38,frames,355,0.1842,1,0.15,blank,,0.9997,6,1.2,1.8,0.563,0.509,4.0.3a,frames/satara/20260919/003847_p38_blob0355_f0.35.jpg
2026-09-19 00:49:51,2026-09-19 02:49:51,satara,night,4,frames,107,0.3844,1,0.15,blank,,0.9997,10,1.3,1.4,0.834,0.442,4.0.3a,frames/satara/20260919/004951_p4_blob0107_f0.29.jpg
2026-09-19 01:03:36,2026-09-19 03:03:36,satara,night,30,frames,93,0.0173,0,0.15,blank,,0.9999,2,1.0,1.4,0.461,0.616,4.0.3a,frames/satara/20260919/010336_p30_blob0093_f0.40.jpg
2026-09-19 01:30:57,2026-09-19 03:30:57,satara,night,3,frames,5,0.0,0,0.15,blank,,0.9872,0,,,,,4.0.3a,frames/satara/20260919/013057_p3_blob0005_f0.56.jpg
2026-09-19 01:43:10,2026-09-19 03:43:10,satara,night,4,frames,95,0.3177,1,0.15,blank,,0.9997,11,1.3,1.5,0.833,0.441,4.0.3a,frames/satara/20260919/014310_p4_blob0095_f0.31.jpg
2026-09-19 01:53:54,2026-09-19 03:53:54,satara,night,38,frames,161,0.0189,0,0.15,blank,,0.9935,2,1.9,1.8,0.587,0.483,4.0.3a,frames/satara/20260919/015354_p38_blob0161_f0.33.jpg
2026-09-19 02:18:53,2026-09-19 04:18:53,satara,night,41,frames,112,0.0132,0,0.15,blank,,0.9999,1,8.6,3.5,0.383,0.544,4.0.3a,frames/satara/20260919/021853_p41_blob0112_f0.28.jpg
2026-09-19 02:35:51,2026-09-19 04:35:51,satara,night,4,frames,225,0.2098,1,0.15,blank,,0.9997,14,1.2,1.4,0.834,0.444,4.0.3a,frames/satara/20260919/023551_p4_blob0225_f0.36.jpg
2026-09-19 02:50:51,2026-09-19 04:50:51,satara,night,4,frames,42,0.3388,1,0.15,blank,,0.9998,16,1.3,1.4,0.833,0.444,4.0.3a,frames/satara/20260919/025051_p4_blob0042_f0.42.jpg
2026-09-19 03:08:50,2026-09-19 05:08:50,satara,night,65,frames,182,0.0,0,0.15,blank,,0.9913,0,,,,,4.0.3a,frames/satara/20260919/030850_p65_blob0182_f0.37.jpg
2026-09-19 03:26:47,2026-09-19 05:26:47,satara,night,127,frames,156,0.045,0,0.15,blank,,0.9983,1,2.2,1.9,0.317,0.597,4.0.3a,frames/satara/20260919/032647_p127_blob0156_f0.54.jpg
2026-09-19 03:45:58,2026-09-19 05:45:58,satara,night,50,frames,476,0.0278,0,0.15,blank,,1.0,4,1.8,3.6,0.009,0.759,4.0.3a,frames/satara/20260919/034558_p50_blob0476_f0.35.jpg
2026-09-19 03:57:00,2026-09-19 05:57:00,satara,night,26,frames,136,0.0592,0,0.15,blank,,0.9998,4,1.7,1.3,0.73,0.585,4.0.3a,frames/satara/20260919/035700_p26_blob0136_f0.34.jpg
2026-09-19 04:04:44,2026-09-19 06:04:44,satara,day,116,hits,340,0.0187,0,0.3,blank,,0.9999,1,1.9,1.3,0.729,0.584,4.0.3a,hits/satara/20260919/040444_p116_blob340.jpg
2026-09-19 04:11:51,2026-09-19 06:11:51,satara,day,26,hits,74,0.0795,0,0.3,blank,,0.9999,1,1.9,1.3,0.73,0.584,4.0.3a,hits/satara/20260919/041151_p26_blob74.jpg
2026-09-19 04:12:03,2026-09-19 06:12:03,satara,day,26,hits,65,0.1461,0,0.3,blank,,0.9999,2,1.9,1.4,0.731,0.585,4.0.3a,hits/satara/20260919/041203_p26_blob65.jpg
2026-09-19 04:26:07,2026-09-19 06:26:07,satara,day,208,frames,1703,0.0186,0,0.3,blank,,0.9992,1,10.8,3.7,0.622,0.552,4.0.3a,frames/satara/20260919/042607_p208_blob1703_f0.37.jpg
2026-09-19 04:27:08,2026-09-19 06:27:08,satara,day,116,hits,255,0.0825,0,0.3,blank,,0.9999,2,1.8,1.3,0.73,0.584,4.0.3a,hits/satara/20260919/042708_p116_blob255.jpg
2026-09-19 04:27:56,2026-09-19 06:27:56,satara,day,185,hits,298,0.1482,0,0.3,blank,,0.9998,4,1.4,2.0,0.08,0.506,4.0.3a,hits/satara/20260919/042756_p185_blob298.jpg
2026-09-19 04:28:08,2026-09-19 06:28:08,satara,day,185,hits,74,0.1153,0,0.3,blank,,0.9999,8,1.4,2.1,0.08,0.507,4.0.3a,hits/satara/20260919/042808_p185_blob74.jpg
2026-09-19 04:28:59,2026-09-19 06:28:59,satara,day,6,hits,87,0.0,0,0.3,blank,,0.9803,0,,,,,4.0.3a,hits/satara/20260919/042859_p6_blob87.jpg
2026-09-19 04:30:13,2026-09-19 06:30:13,satara,day,71,hits,274,0.0634,0,0.3,blank,,0.9999,3,1.3,1.6,0.536,0.308,4.0.3a,hits/satara/20260919/043013_p71_blob274.jpg
2026-09-19 04:30:50,2026-09-19 06:30:50,satara,day,116,hits,364,0.0145,0,0.3,blank,,0.9999,3,2.8,1.8,0.785,0.242,4.0.3a,hits/satara/20260919/043050_p116_blob364.jpg
2026-09-19 04:33:55,2026-09-19 06:33:55,satara,day,71,hits,173,0.2681,0,0.3,blank,,0.9999,4,1.2,1.4,0.616,0.285,4.0.3a,hits/satara/20260919/043355_p71_blob173.jpg
2026-09-19 04:38:39,2026-09-19 06:38:39,satara,day,71,hits,206,0.225,0,0.3,blank,,0.9962,5,8.0,7.7,0.043,0.667,4.0.3a,hits/satara/20260919/043839_p71_blob206.jpg
2026-09-19 04:38:51,2026-09-19 06:38:51,satara,day,116,hits,116,0.027,0,0.3,blank,,0.9026,2,2.7,2.5,0.474,0.453,4.0.3a,hits/satara/20260919/043851_p116_blob116.jpg
2026-09-19 04:39:20,2026-09-19 06:39:20,satara,day,185,hits,239,0.0888,0,0.3,blank,,0.9999,3,2.1,2.1,0.394,0.418,4.0.3a,hits/satara/20260919/043920_p185_blob239.jpg
2026-09-19 04:49:06,2026-09-19 06:49:06,satara,day,71,hits,70,0.213,0,0.3,blank,,0.9999,3,1.2,1.6,0.536,0.306,4.0.3a,hits/satara/20260919/044906_p71_blob70.jpg
2026-09-19 04:50:01,2026-09-19 06:50:01,satara,day,26,hits,156,0.0226,0,0.3,blank,,0.9998,3,1.7,1.3,0.73,0.584,4.0.3a,hits/satara/20260919/045001_p26_blob156.jpg
2026-09-19 04:50:14,2026-09-19 06:50:14,satara,day,26,hits,132,0.0118,0,0.3,blank,,0.9999,2,1.9,1.3,0.731,0.584,4.0.3a,hits/satara/20260919/045014_p26_blob132.jpg
2026-09-19 04:52:58,2026-09-19 06:52:58,satara,day,71,hits,73,0.3199,1,0.3,blank,,0.9999,3,1.2,1.6,0.537,0.306,4.0.3a,hits/satara/20260919/045258_p71_blob73.jpg
2026-09-19 04:54:10,2026-09-19 06:54:10,satara,day,26,hits,94,0.7534,1,0.3,animal,,0.7534,16,2.5,1.8,0.695,0.608,4.0.3a,hits/satara/20260919/045410_p26_blob94.jpg
2026-09-19 04:55:00,2026-09-19 06:55:00,satara,day,185,hits,387,0.1944,0,0.3,blank,,0.9999,2,1.4,1.9,0.081,0.508,4.0.3a,hits/satara/20260919/045500_p185_blob387.jpg
2026-09-19 04:55:12,2026-09-19 06:55:12,satara,day,6,hits,133,0.8017,1,0.3,animal,,0.8017,5,4.4,7.5,0.564,0.674,4.0.3a,hits/satara/20260919/045512_p6_blob133.jpg
2026-09-19 04:56:14,2026-09-19 06:56:14,satara,day,12,hits,81,0.1947,0,0.3,blank,,0.9997,4,1.1,1.4,0.574,0.474,4.0.3a,hits/satara/20260919/045614_p12_blob81.jpg
2026-09-19 04:58:18,2026-09-19 06:58:18,satara,day,150,hits,163,0.652,1,0.3,animal,,0.652,6,2.3,2.7,0.74,0.581,4.0.3a,hits/satara/20260919/045818_p150_blob163.jpg
2026-09-19 05:00:01,2026-09-19 07:00:01,satara,day,59,frames,1988,0.0564,0,0.3,blank,,0.9982,1,2.3,4.7,0.368,0.889,4.0.3a,frames/satara/20260919/050001_p59_blob1988_f0.38.jpg
2026-09-19 05:00:14,2026-09-19 07:00:14,satara,day,59,hits,529,0.1754,0,0.3,blank,,0.9823,5,2.3,4.5,0.368,0.887,4.0.3a,hits/satara/20260919/050014_p59_blob529.jpg
2026-09-19 05:00:52,2026-09-19 07:00:52,satara,day,71,hits,203,0.8819,1,0.3,guineafowl family,aves,0.7071,2,6.7,6.3,0.47,0.517,4.0.3a,hits/satara/20260919/050052_p71_blob203.jpg
2026-09-19 05:01:05,2026-09-19 07:01:05,satara,day,16,hits,833,0.6087,1,0.3,animal,,0.6087,11,1.7,2.6,0.698,0.326,4.0.3a,hits/satara/20260919/050105_p16_blob833.jpg
2026-09-19 05:12:52,2026-09-19 07:12:52,satara,day,150,hits,200,0.013,0,0.3,blank,,0.9989,2,1.8,5.2,0.009,0.926,4.0.3a,hits/satara/20260919/051252_p150_blob200.jpg
2026-09-19 05:13:04,2026-09-19 07:13:04,satara,day,150,hits,118,0.0115,0,0.3,blank,,0.9999,1,3.1,2.1,0.805,0.507,4.0.3a,hits/satara/20260919/051304_p150_blob118.jpg
2026-09-19 05:16:53,2026-09-19 07:16:53,satara,day,150,hits,106,0.0136,0,0.3,blank,,0.9992,2,1.3,1.5,0.048,0.635,4.0.3a,hits/satara/20260919/051653_p150_blob106.jpg
2026-09-19 05:18:54,2026-09-19 07:18:54,satara,day,12,hits,73,0.198,0,0.3,blank,,0.9999,8,1.6,1.7,0.532,0.465,4.0.3a,hits/satara/20260919/051854_p12_blob73.jpg
2026-09-19 05:19:06,2026-09-19 07:19:06,satara,day,12,hits,80,0.2218,0,0.3,blank,,0.9998,6,1.2,1.4,0.574,0.473,4.0.3a,hits/satara/20260919/051906_p12_blob80.jpg
2026-09-19 05:27:56,2026-09-19 07:27:56,satara,day,71,frames,3217,0.5889,1,0.3,blank,,0.9998,9,1.2,1.8,0.449,0.347,4.0.3a,frames/satara/20260919/052756_p71_blob3217_f0.62.jpg
2026-09-19 05:28:08,2026-09-19 07:28:08,satara,day,150,hits,112,0.0526,0,0.3,blank,,0.9999,2,0.5,0.8,0.173,0.734,4.0.3a,hits/satara/20260919/052808_p150_blob112.jpg
2026-09-19 05:31:58,2026-09-19 07:31:58,satara,day,150,hits,133,0.0141,0,0.3,blank,,0.9987,2,1.8,3.5,0.009,0.91,4.0.3a,hits/satara/20260919/053158_p150_blob133.jpg
2026-09-19 05:36:12,2026-09-19 07:36:12,satara,day,150,hits,80,0.8114,1,0.3,animal,,0.8114,5,3.9,2.9,0.777,0.426,4.0.3a,hits/satara/20260919/053612_p150_blob80.jpg
